job_id,title,company,location,job_type,domain,description,responsibilities,required_skills,preferred_skills,qualifications,experience_required,education_required,stipend_or_salary,apply_link
169,iOS Developer Intern,Starlight Design Studio,Gurgaon,Full-time,Mobile App Development,Work on our mobile app used by thousands of users to build a food delivery app.,Integrate third-party SDKs | Optimize app performance and battery usage | Develop and test mobile features for a food delivery app,"Flutter, Kotlin, Android SDK, Dart, Java","SQLite, Swift, Firebase",B.Tech/B.E. (Computer Science or related),1-2 years,B.Tech/B.E. (Computer Science or related),₹4 LPA,https://careers.example.com/jobs/169
127,UI/UX Design Intern,Catalyst Robotics,Gurgaon,Internship,UI/UX Design,Join our design team to craft intuitive user experiences for a consumer marketplace app.,Collaborate with developers to implement designs | Design wireframes and mockups for a consumer marketplace app | Conduct user research and usability tests,"Prototyping, User Research, Figma, Adobe XD, Wireframing",Adobe Illustrator,Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹12,000/month",https://careers.example.com/jobs/127
173,Social Media Marketing Intern,Driftwood Digital,Jaipur,Internship,Digital Marketing,Help grow our brand presence and drive engagement for a B2B SaaS brand.,Analyze campaign performance metrics | Optimize website content for search engines | Plan and execute campaigns for a B2B SaaS brand,"SEO, Content Writing, Social Media Marketing, Google Analytics","Canva, Google Ads, Email Marketing",MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹12,000/month",https://careers.example.com/jobs/173
18,Web Development Trainee,Vantage Point Analytics,Nagpur,Internship,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Fix cross-browser compatibility issues | Optimize page load performance | Integrate REST APIs into the frontend,"JavaScript, CSS, React","TypeScript, Tailwind CSS",B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹8,000/month",https://careers.example.com/jobs/18
50,Security Research Intern,Redwood Analytics,Mumbai,Internship,Cybersecurity,Support our security team in protecting systems and data related to customer data systems.,Support incident response drills | Document security findings and remediation steps | Assist in vulnerability assessments,"Wireshark, Linux, OWASP Top 10, Networking Fundamentals",Python Scripting,B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹12,000/month",https://careers.example.com/jobs/50
121,Software Engineer Intern,BluePeak Analytics,Coimbatore,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build a payments backend.,Participate in code reviews | Debug and fix issues in existing modules | Collaborate with cross-functional teams on a payments backend,"Python, Data Structures, Java, SQL, Git","CI/CD, Kubernetes",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹12,000/month",https://careers.example.com/jobs/121
185,Cybersecurity Intern,Catalyst Robotics,Coimbatore,Internship,Cybersecurity,Support our security team in protecting systems and data related to customer data systems.,Document security findings and remediation steps | Monitor systems for security incidents related to customer data systems | Assist in vulnerability assessments,"OWASP Top 10, Wireshark, Networking Fundamentals","Cloud Security, SIEM Tools",B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹10,000/month",https://careers.example.com/jobs/185
62,Data Science Intern,Redwood Analytics,Jaipur,Internship,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Present findings to stakeholders | Clean and preprocess datasets for a fraud detection system | Deploy models into production pipelines,"Statistics, NumPy, Scikit-learn, Pandas",Deep Learning,Any graduate (technical background preferred),0 years (Fresher/Student),Any graduate (technical background preferred),"₹18,000/month",https://careers.example.com/jobs/62
71,HR Intern,Orbit Innovations,Bhopal,Internship,Human Resources,Join our HR team to support hiring and employee experience for campus hiring.,Source and screen candidates for campus hiring | Maintain HR records and databases | Coordinate interview scheduling,"Communication Skills, HRIS, Recruitment","Employer Branding, Onboarding Programs",Pursuing B.Tech/B.E.,0 years (Fresher/Student),Pursuing B.Tech/B.E.,"₹10,000/month",https://careers.example.com/jobs/71
53,Social Media Marketing Intern,Vertex Digital Labs,Kochi,Internship,Digital Marketing,Help grow our brand presence and drive engagement for an e-commerce store.,Plan and execute campaigns for an e-commerce store | Optimize website content for search engines | Analyze campaign performance metrics,"Social Media Marketing, SEO, Content Writing, Google Analytics","HubSpot, Canva, Email Marketing",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹10,000/month",https://careers.example.com/jobs/53
177,Copywriting Intern,Catalyst Robotics,Mumbai,Internship,Content Writing,"Help us create engaging, high-quality content for marketing campaigns.",Write and edit content for marketing campaigns | Research industry topics for blog posts | Optimize content for SEO,"SEO Writing, Content Writing, Research Skills","WordPress, Content Strategy",BCA / B.Sc IT,0 years (Fresher/Student),BCA / B.Sc IT,"₹10,000/month",https://careers.example.com/jobs/177
160,Financial Analyst Intern,Bright Horizon Tech,Kochi,Internship,Finance & Accounting,Support our finance team with reporting and analysis for vendor payments.,Assist with audit documentation | Reconcile accounts and transactions | Support budgeting and forecasting activities,"Excel, Tally, Financial Modeling",SAP,MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹25,000/month",https://careers.example.com/jobs/160
125,Security Research Intern,Palm Grove Technologies,Chandigarh,Internship,Cybersecurity,Support our security team in protecting systems and data related to customer data systems.,Assist in vulnerability assessments | Support incident response drills | Document security findings and remediation steps,"Networking Fundamentals, OWASP Top 10, Wireshark","Cloud Security, Burp Suite",BCA / B.Sc IT,0 years (Fresher/Student),BCA / B.Sc IT,"₹20,000/month",https://careers.example.com/jobs/125
140,Penetration Testing Intern,CloudNine Systems,Bhopal,Internship,Cybersecurity,Support our security team in protecting systems and data related to internal networks.,Monitor systems for security incidents related to internal networks | Assist in vulnerability assessments | Document security findings and remediation steps,"Wireshark, Networking Fundamentals, Linux",SIEM Tools,B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹18,000/month",https://careers.example.com/jobs/140
91,Full Stack Developer,Novacore Systems,Ahmedabad,Full-time,Software Development,We are looking for a motivated individual to join our engineering team and help build an internal tools platform.,Participate in code reviews | Debug and fix issues in existing modules | Write unit tests for new features,"Git, Python, SQL","Kubernetes, Docker, Microservices",Pursuing MCA,1-2 years,Pursuing MCA,₹4 LPA,https://careers.example.com/jobs/91
80,Cybersecurity Intern,Northstar AI,Remote,Internship,Cybersecurity,Support our security team in protecting systems and data related to internal networks.,Document security findings and remediation steps | Support incident response drills | Assist in vulnerability assessments,"Wireshark, Linux, Networking Fundamentals, OWASP Top 10","Cloud Security, Python Scripting",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹20,000/month",https://careers.example.com/jobs/80
171,Cloud Engineer Intern,CloudNine Systems,Jaipur,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for CI/CD pipelines.",Assist in cloud cost optimization | Automate deployment pipelines for CI/CD pipelines | Monitor infrastructure uptime,"AWS, Docker, Shell Scripting, Git, Linux","Jenkins, Kubernetes, Azure",Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹10,000/month",https://careers.example.com/jobs/171
5,Cybersecurity Intern,Solstice Software,Chennai,Full-time,Cybersecurity,Support our security team in protecting systems and data related to cloud infrastructure.,Monitor systems for security incidents related to cloud infrastructure | Assist in vulnerability assessments | Document security findings and remediation steps,"Wireshark, Linux, Networking Fundamentals, OWASP Top 10",Burp Suite,B.Tech/B.E. (Computer Science or related),1-2 years,B.Tech/B.E. (Computer Science or related),₹4 LPA,https://careers.example.com/jobs/5
130,Finance Intern,Bluepine Software,Gurgaon,Full-time,Finance & Accounting,Support our finance team with reporting and analysis for vendor payments.,Assist with audit documentation | Assist in preparing financial reports for vendor payments | Reconcile accounts and transactions,"Excel, Accounting Principles, Financial Modeling, Tally","SAP, Power BI, Budgeting",B.Com / M.Com,0-2 years,B.Com / M.Com,₹5 LPA,https://careers.example.com/jobs/130
58,Software Testing Intern,Nexalytics Technologies,Delhi NCR,Internship,Quality Assurance,Help ensure the quality and reliability of an internal API before release.,Write and execute test cases for an internal API | Log and track defects | Perform regression testing,"Manual Testing, Test Case Design, Bug Tracking","API Testing, JMeter",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹20,000/month",https://careers.example.com/jobs/58
133,QA Intern,Ridgeline Tech,Remote,Internship,Quality Assurance,Help ensure the quality and reliability of an internal API before release.,Write and execute test cases for an internal API | Log and track defects | Perform regression testing,"SQL, Test Case Design, Manual Testing","Postman, JMeter, Selenium",B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹18,000/month",https://careers.example.com/jobs/133
146,HR Operations Intern,Falcon Edge Systems,Chandigarh,Internship,Human Resources,Join our HR team to support hiring and employee experience for campus hiring.,Source and screen candidates for campus hiring | Support onboarding of new hires | Coordinate interview scheduling,"HRIS, Communication Skills, Recruitment","HR Analytics, Onboarding Programs, Employer Branding",Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹8,000/month",https://careers.example.com/jobs/146
159,Product Analyst Intern,GreenTech Innovations,Kochi,Internship,Business Analysis,Support our product and strategy teams by analyzing data related to a logistics platform.,Prepare reports and dashboards | Gather and document business requirements for a logistics platform | Support product roadmap planning,"Data Analysis, Requirement Gathering, Excel",Tableau,B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹20,000/month",https://careers.example.com/jobs/159
182,Data Science Intern,CloudNine Systems,Kochi,Internship,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Deploy models into production pipelines | Build and evaluate ML models | Present findings to stakeholders,"SQL, Scikit-learn, Statistics, NumPy, Pandas",MLOps,B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹12,000/month",https://careers.example.com/jobs/182
46,Software Development Intern,Crestline Technologies,Chandigarh,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build an internal tools platform.,"Write unit tests for new features | Participate in code reviews | Write clean, maintainable code for an internal tools platform","REST APIs, Python, SQL, Data Structures",AWS,MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹8,000/month",https://careers.example.com/jobs/46
23,Digital Marketing Intern,Momentum Fintech,Indore,Full-time,Digital Marketing,Help grow our brand presence and drive engagement for an e-commerce store.,Analyze campaign performance metrics | Optimize website content for search engines | Plan and execute campaigns for an e-commerce store,"Content Writing, Social Media Marketing, Google Analytics","Email Marketing, Google Ads, Canva",Pursuing B.Tech (any branch),0-1 years,Pursuing B.Tech (any branch),₹6 LPA,https://careers.example.com/jobs/23
55,Finance Intern,Apex Digital Solutions,Gurgaon,Internship,Finance & Accounting,Support our finance team with reporting and analysis for vendor payments.,Reconcile accounts and transactions | Assist in preparing financial reports for vendor payments | Assist with audit documentation,"Tally, Excel, Financial Modeling, Accounting Principles","SAP, Budgeting",Any graduate (technical background preferred),0 years (Fresher/Student),Any graduate (technical background preferred),"₹12,000/month",https://careers.example.com/jobs/55
88,QA Intern,Redwood Analytics,Mumbai,Internship,Quality Assurance,Help ensure the quality and reliability of an internal API before release.,Perform regression testing | Log and track defects | Automate repetitive test scenarios,"Test Case Design, Manual Testing, Bug Tracking","API Testing, Postman, Selenium",Any graduate (technical background preferred),0 years (Fresher/Student),Any graduate (technical background preferred),"₹15,000/month",https://careers.example.com/jobs/88
49,Android Developer Intern,Marble Arch Analytics,Ahmedabad,Internship,Mobile App Development,Work on our mobile app used by thousands of users to build a banking app.,Develop and test mobile features for a banking app | Integrate third-party SDKs | Fix bugs reported by QA,"Java, Flutter, Kotlin, Android SDK, Dart","REST APIs, Firebase",B.Com / M.Com,0 years (Fresher/Student),B.Com / M.Com,"₹20,000/month",https://careers.example.com/jobs/49
139,Flutter Developer,Bright Horizon Tech,Kochi,Internship,Mobile App Development,Work on our mobile app used by thousands of users to build a banking app.,Fix bugs reported by QA | Develop and test mobile features for a banking app | Integrate third-party SDKs,"Flutter, Java, Dart, Android SDK",Swift,Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹25,000/month",https://careers.example.com/jobs/139
145,Financial Analyst Intern,CloudNine Systems,Nagpur,Internship,Finance & Accounting,Support our finance team with reporting and analysis for quarterly financial statements.,Assist in preparing financial reports for quarterly financial statements | Assist with audit documentation | Reconcile accounts and transactions,"Excel, Financial Modeling, Tally","SAP, Power BI, Budgeting",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹8,000/month",https://careers.example.com/jobs/145
135,Associate Product Manager Intern,Vertex Digital Labs,Chennai,Internship,Product Management,Support our product team in shaping the roadmap for an internal tools suite.,Support sprint planning | Analyze user feedback and metrics | Coordinate with engineering and design,"User Research, Product Roadmapping, Agile","Figma, A/B Testing",MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹10,000/month",https://careers.example.com/jobs/135
93,React Developer Intern,Harborlight Data Systems,Remote,Internship,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Integrate REST APIs into the frontend | Optimize page load performance | Build responsive UI components for a company dashboard,"Responsive Design, React, HTML, JavaScript","TypeScript, Node.js, Next.js",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹25,000/month",https://careers.example.com/jobs/93
106,Full Stack Developer,Ridgeline Tech,Mumbai,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build a customer-facing SaaS product.,"Debug and fix issues in existing modules | Write clean, maintainable code for a customer-facing SaaS product | Write unit tests for new features","REST APIs, Java, SQL, Git, OOP","AWS, Docker",Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹20,000/month",https://careers.example.com/jobs/106
162,Copywriting Intern,GreenTech Innovations,Jaipur,Internship,Content Writing,"Help us create engaging, high-quality content for our developer blog.",Write and edit content for our developer blog | Proofread and edit team submissions | Research industry topics for blog posts,"SEO Writing, Editing, Content Writing, Research Skills",Content Strategy,Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹8,000/month",https://careers.example.com/jobs/162
74,IoT Developer Intern,Amberwood Consulting,Bhopal,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for an industrial IoT sensor.,Document hardware interfaces | Test hardware-software integration | Develop firmware for an industrial IoT sensor,"Embedded C, Microcontrollers, C++, C","RTOS, Raspberry Pi, PCB Design",Any graduate (technical background preferred),0 years (Fresher/Student),Any graduate (technical background preferred),"₹12,000/month",https://careers.example.com/jobs/74
164,Embedded Systems Intern,Redwood Analytics,Coimbatore,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for a smart home device.,Debug embedded systems issues | Test hardware-software integration | Develop firmware for a smart home device,"C++, Embedded C, C","RTOS, Raspberry Pi, PCB Design",MBA (any specialization),0 years (Fresher/Student),MBA (any specialization),"₹8,000/month",https://careers.example.com/jobs/164
7,UI/UX Design Intern,Coral Bay Systems,Chandigarh,Internship,UI/UX Design,Join our design team to craft intuitive user experiences for a mobile banking app.,Maintain design system consistency | Conduct user research and usability tests | Collaborate with developers to implement designs,"Adobe XD, Prototyping, Wireframing","Usability Testing, Adobe Illustrator",Pursuing MBA,0 years (Fresher/Student),Pursuing MBA,"₹12,000/month",https://careers.example.com/jobs/7
129,Junior Business Analyst,Everest Cloud Services,Ahmedabad,Internship,Business Analysis,Support our product and strategy teams by analyzing data related to internal operations.,Prepare reports and dashboards | Support product roadmap planning | Gather and document business requirements for internal operations,"SQL, Requirement Gathering, Data Analysis, Excel","Power BI, Tableau",Pursuing B.Tech/B.E.,0 years (Fresher/Student),Pursuing B.Tech/B.E.,"₹20,000/month",https://careers.example.com/jobs/129
175,Accounting Intern,Novacore Systems,Delhi NCR,Internship,Finance & Accounting,Support our finance team with reporting and analysis for quarterly financial statements.,Reconcile accounts and transactions | Assist in preparing financial reports for quarterly financial statements | Assist with audit documentation,"Excel, Accounting Principles, Financial Modeling, Tally",Budgeting,Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹12,000/month",https://careers.example.com/jobs/175
181,Frontend Developer Intern,Everest Cloud Services,Delhi NCR,Internship,Software Development,We are looking for a motivated individual to join our engineering team and help build a payments backend.,"Write unit tests for new features | Write clean, maintainable code for a payments backend | Collaborate with cross-functional teams on a payments backend","Git, SQL, Java, REST APIs",Docker,BCA / B.Sc IT,0 years (Fresher/Student),BCA / B.Sc IT,"₹10,000/month",https://careers.example.com/jobs/181
123,JavaScript Developer,Momentum Fintech,Bhopal,Internship,Web Development,"Help us build and maintain fast, modern web experiences for a company dashboard.",Build responsive UI components for a company dashboard | Optimize page load performance | Integrate REST APIs into the frontend,"Responsive Design, React, CSS","TypeScript, Node.js",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹15,000/month",https://careers.example.com/jobs/123
107,Data Analyst Intern,ByteBridge Solutions,Noida,Internship,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Perform exploratory data analysis on a fraud detection system | Build and evaluate ML models | Clean and preprocess datasets for a fraud detection system,"SQL, Statistics, NumPy","PyTorch, MLOps",MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹25,000/month",https://careers.example.com/jobs/107
109,Mobile App Development Intern,Vantage Point Analytics,Pune,Full-time,Mobile App Development,Work on our mobile app used by thousands of users to build a food delivery app.,Develop and test mobile features for a food delivery app | Integrate third-party SDKs | Optimize app performance and battery usage,"Kotlin, Flutter, Java, Android SDK, Dart","REST APIs, Firebase, Swift",Pursuing MCA,1-2 years,Pursuing MCA,₹4 LPA,https://careers.example.com/jobs/109
126,DevOps Intern,Emberstone Software,Pune,Full-time,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for CI/CD pipelines.",Manage container orchestration | Automate deployment pipelines for CI/CD pipelines | Assist in cloud cost optimization,"Linux, AWS, Shell Scripting, Git, Docker","Azure, Terraform",B.Com / M.Com,1-2 years,B.Com / M.Com,₹8 LPA,https://careers.example.com/jobs/126
12,Content Writing Intern,Quantify Analytics,Hyderabad,Internship,Content Writing,"Help us create engaging, high-quality content for our developer blog.",Research industry topics for blog posts | Optimize content for SEO | Proofread and edit team submissions,"Research Skills, SEO Writing, Editing",Content Strategy,MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹25,000/month",https://careers.example.com/jobs/12
128,SEO Intern,Nexalytics Technologies,Noida,Internship,Digital Marketing,Help grow our brand presence and drive engagement for an e-commerce store.,Optimize website content for search engines | Create content calendars | Plan and execute campaigns for an e-commerce store,"Google Analytics, Content Writing, Social Media Marketing","Canva, Google Ads",Pursuing MCA,0 years (Fresher/Student),Pursuing MCA,"₹10,000/month",https://careers.example.com/jobs/128
149,IoT Developer Intern,Vantage Point Analytics,Mumbai,Internship,Embedded Systems & IoT,Work on embedded hardware and firmware for a smart home device.,Develop firmware for a smart home device | Document hardware interfaces | Test hardware-software integration,"Embedded C, C++, C",Raspberry Pi,Pursuing B.Tech/B.E.,0 years (Fresher/Student),Pursuing B.Tech/B.E.,"₹10,000/month",https://careers.example.com/jobs/149
137,Data Analyst Intern,Solstice Software,Hyderabad,Full-time,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Deploy models into production pipelines | Perform exploratory data analysis on a fraud detection system | Clean and preprocess datasets for a fraud detection system,"Scikit-learn, Statistics, Pandas","PyTorch, TensorFlow, Deep Learning",B.Com / M.Com,0-2 years,B.Com / M.Com,₹5 LPA,https://careers.example.com/jobs/137
83,Content Marketing Intern,Vantage Point Analytics,Kochi,Internship,Digital Marketing,Help grow our brand presence and drive engagement for a B2B SaaS brand.,Create content calendars | Plan and execute campaigns for a B2B SaaS brand | Analyze campaign performance metrics,"Social Media Marketing, SEO, Google Analytics",HubSpot,B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹10,000/month",https://careers.example.com/jobs/83
148,Automation Testing Intern,Bright Horizon Tech,Hyderabad,Internship,Quality Assurance,Help ensure the quality and reliability of an e-commerce checkout flow before release.,Write and execute test cases for an e-commerce checkout flow | Log and track defects | Perform regression testing,"SQL, Bug Tracking, Test Case Design, Manual Testing","Selenium, JMeter, API Testing",Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹25,000/month",https://careers.example.com/jobs/148
26,HR Operations Intern,Fusion Edge Technologies,Jaipur,Internship,Human Resources,Join our HR team to support hiring and employee experience for lateral hiring.,Source and screen candidates for lateral hiring | Support onboarding of new hires | Maintain HR records and databases,"HRIS, Recruitment, Communication Skills","Employer Branding, Onboarding Programs",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹15,000/month",https://careers.example.com/jobs/26
17,AI Research Intern,ByteBridge Solutions,Chennai,Internship,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Build and evaluate ML models | Clean and preprocess datasets for a fraud detection system | Perform exploratory data analysis on a fraud detection system,"Statistics, Pandas, Scikit-learn",MLOps,B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹15,000/month",https://careers.example.com/jobs/17
6,Site Reliability Intern,BluePeak Analytics,Chandigarh,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for CI/CD pipelines.",Assist in cloud cost optimization | Manage container orchestration | Monitor infrastructure uptime,"AWS, Docker, Linux, Shell Scripting","GCP, Jenkins, Azure",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹10,000/month",https://careers.example.com/jobs/6
152,Machine Learning Intern,Marble Arch Analytics,Kochi,Internship,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Build and evaluate ML models | Present findings to stakeholders | Deploy models into production pipelines,"Pandas, Python, SQL, Statistics",Deep Learning,Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹8,000/month",https://careers.example.com/jobs/152
22,Product Designer Intern,Ridgeline Tech,Coimbatore,Internship,UI/UX Design,Join our design team to craft intuitive user experiences for a mobile banking app.,Conduct user research and usability tests | Design wireframes and mockups for a mobile banking app | Maintain design system consistency,"Adobe XD, Figma, Prototyping","Usability Testing, Adobe Illustrator, Design Systems",Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹25,000/month",https://careers.example.com/jobs/22
96,Cloud Support Engineer,Redwood Analytics,Bangalore,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for a multi-region deployment.",Monitor infrastructure uptime | Assist in cloud cost optimization | Automate deployment pipelines for a multi-region deployment,"AWS, Git, Docker, Shell Scripting",Jenkins,Pursuing B.Tech/B.E.,0 years (Fresher/Student),Pursuing B.Tech/B.E.,"₹10,000/month",https://careers.example.com/jobs/96
103,Automation Testing Intern,Palm Grove Technologies,Coimbatore,Full-time,Quality Assurance,Help ensure the quality and reliability of an internal API before release.,Write and execute test cases for an internal API | Perform regression testing | Log and track defects,"Bug Tracking, Test Case Design, Manual Testing, SQL","API Testing, Postman, Selenium",Pursuing MBA,1-2 years,Pursuing MBA,₹4 LPA,https://careers.example.com/jobs/103
51,DevOps Intern,ByteBridge Solutions,Ahmedabad,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for CI/CD pipelines.",Assist in cloud cost optimization | Manage container orchestration | Monitor infrastructure uptime,"Git, Linux, Shell Scripting, AWS","Azure, Jenkins, Kubernetes",B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹15,000/month",https://careers.example.com/jobs/51
34,Mobile App Development Intern,GreenTech Innovations,Bangalore,Internship,Mobile App Development,Work on our mobile app used by thousands of users to build a food delivery app.,Develop and test mobile features for a food delivery app | Fix bugs reported by QA | Optimize app performance and battery usage,"Flutter, Java, Dart, Kotlin","Swift, REST APIs",Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹20,000/month",https://careers.example.com/jobs/34
57,Technical Writer Intern,Ironclad Cyber Solutions,Coimbatore,Internship,Content Writing,"Help us create engaging, high-quality content for product documentation.",Optimize content for SEO | Write and edit content for product documentation | Research industry topics for blog posts,"SEO Writing, Editing, Content Writing, Research Skills",WordPress,B.Tech/B.E. (Computer Science or related),0 years (Fresher/Student),B.Tech/B.E. (Computer Science or related),"₹18,000/month",https://careers.example.com/jobs/57
16,Software Engineer Intern,Ridgeline Tech,Chandigarh,Full-time,Software Development,We are looking for a motivated individual to join our engineering team and help build an internal tools platform.,Write unit tests for new features | Collaborate with cross-functional teams on an internal tools platform | Participate in code reviews,"Java, Python, SQL, Data Structures","Microservices, Docker, CI/CD",Pursuing MCA,0-2 years,Pursuing MCA,₹3 LPA,https://careers.example.com/jobs/16
4,Android Developer Intern,PixelForge Studios,Ahmedabad,Internship,Mobile App Development,Work on our mobile app used by thousands of users to build a fitness tracking app.,Optimize app performance and battery usage | Fix bugs reported by QA | Develop and test mobile features for a fitness tracking app,"Kotlin, Flutter, Java","SQLite, Firebase",Diploma or Degree in relevant field,0 years (Fresher/Student),Diploma or Degree in relevant field,"₹12,000/month",https://careers.example.com/jobs/4
32,ML Engineer,Lighthouse Data Co,Ahmedabad,Internship,Data Science & ML,Join our data team to help extract insights and build predictive models for a fraud detection system.,Build and evaluate ML models | Perform exploratory data analysis on a fraud detection system | Deploy models into production pipelines,"Statistics, Pandas, NumPy, SQL",NLP,Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹18,000/month",https://careers.example.com/jobs/32
36,Cloud Support Engineer,Everest Cloud Services,Indore,Internship,Cloud & DevOps,"Help us build and maintain scalable, reliable cloud infrastructure for microservices infrastructure.",Automate deployment pipelines for microservices infrastructure | Manage container orchestration | Assist in cloud cost optimization,"Shell Scripting, Docker, AWS, Git",Azure,Pursuing B.Tech (any branch),0 years (Fresher/Student),Pursuing B.Tech (any branch),"₹10,000/month",https://careers.example.com/jobs/36
27,Content Writing Intern,Cobalt Cloud Works,Noida,Internship,Content Writing,"Help us create engaging, high-quality content for marketing campaigns.",Optimize content for SEO | Proofread and edit team submissions | Write and edit content for marketing campaigns,"Research Skills, SEO Writing, Editing","Grammarly, Content Strategy, WordPress",MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹15,000/month",https://careers.example.com/jobs/27
170,Security Research Intern,PixelForge Studios,Remote,Internship,Cybersecurity,Support our security team in protecting systems and data related to internal networks.,Support incident response drills | Monitor systems for security incidents related to internal networks | Document security findings and remediation steps,"Wireshark, Networking Fundamentals, OWASP Top 10",SIEM Tools,MCA / M.Sc Computer Science,0 years (Fresher/Student),MCA / M.Sc Computer Science,"₹25,000/month",https://careers.example.com/jobs/170
25,Finance Intern,Cobalt Cloud Works,Indore,Internship,Finance & Accounting,Support our finance team with reporting and analysis for vendor payments.,Support budgeting and forecasting activities | Assist in preparing financial reports for vendor payments | Reconcile accounts and transactions,"Excel, Financial Modeling, Accounting Principles, Tally","Budgeting, Power BI, Forecasting",Pursuing B.Tech/B.E.,0 years (Fresher/Student),Pursuing B.Tech/B.E.,"₹8,000/month",https://careers.example.com/jobs/25
158,Digital Marketing Intern,Indigo Wave Solutions,Remote,Full-time,Digital Marketing,Help grow our brand presence and drive engagement for a B2B SaaS brand.,Analyze campaign performance metrics | Create content calendars | Optimize website content for search engines,"SEO, Google Analytics, Content Writing, Social Media Marketing","Canva, Google Ads, Email Marketing",B.Tech/B.E. (Computer Science or related),1-2 years,B.Tech/B.E. (Computer Science or related),₹6 LPA,https://careers.example.com/jobs/158
